AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
13293254,348743790,86547,660,2022-12-18,633,古风 怀旧 经典 ,145,绝美戏腔｜抒情 怀念 伤感的古风歌曲,7826780259,https://music.163.com/playlist?id=7826780259
1236226,346769611,8815,42,2023-05-25,138,欧美 流行 R&B/Soul ,152,『英文R&B』微醺缥游在浪漫时空,8436954261,https://music.163.com/playlist?id=8436954261
48580,578726959,232,评论,2023-04-13,5,欧美 电子 驾车 ,66,车载音乐：一路狂飙，嗨到天亮,8296831158,https://music.163.com/playlist?id=8296831158
3094215,311877725,49067,143,2018-05-14,698,欧美 经典 影视原声 ,50,电影配乐，当优雅华尔兹遇上激情探戈,2226210869,https://music.163.com/playlist?id=2226210869
8384474,45441555,212340,856,2017-08-08,2428,日语 电子 ACG ,88,冰镇软萌音｜不能自已的Kawaii电音,873024264,https://music.163.com/playlist?id=873024264
533671,342371680,9826,44,2023-12-26,154,欧美 R&B/Soul 浪漫 ,112,少女向R&B | 快乐鼓点 带点可愛甜蜜的味道,9099444206,https://music.163.com/playlist?id=9099444206
2333834,346769611,13013,51,2022-11-21,271,说唱 流行 浪漫 ,149,甜蜜暴击 | rap情歌甜到你发晕,7761129140,https://music.163.com/playlist?id=7761129140
1872554,53774877,10911,87,2023-11-11,158,欧美 R&B/Soul 浪漫 ,220,慵懒欧美R&B:舒慢溺于沉醉,8856013717,https://music.163.com/playlist?id=8856013717
376230,342371680,2827,3,2023-08-01,52,流行 治愈 快乐 ,76,小甜歌pink | 心动crush 邂逅甜甜的你~,8616356697,https://music.163.com/playlist?id=8616356697
242326,6437515472,2653,94,2023-12-06,25,华语 流行 ,79,如果忧郁是种天赋 我想我早已名扬天下,8906294483,https://music.163.com/playlist?id=8906294483
1453786,342371680,7314,45,2023-12-10,78,华语 流行 快乐 ,157,【甜度爆表】攒一堆甜歌 和爱的ta一起听！,8923553923,https://music.163.com/playlist?id=8923553923
987053,301543163,8745,30,2023-12-14,61,华语 流行 古风 ,28,"【你也喜欢·海洋Bo】合集歌单 | 更新中
",8934187899,https://music.163.com/playlist?id=8934187899
2275515,342371680,10192,274,2023-05-16,166,华语 流行 R&B/Soul ,172,华语R&B | 浪漫又好听的华语节奏布鲁斯,8421208520,https://music.163.com/playlist?id=8421208520
4138966,538251488,44758,292,2021-02-12,392,另类/独立 摇滚 夜晚 ,99,「所以生命啊，它苦涩如歌。」,6612616283,https://music.163.com/playlist?id=6612616283
19769,565123750,186,2,2023-11-13,4,R&B/Soul 华语 欧美 ,75,『氛围感R&B』音乐是暧昧的催化剂,8859859903,https://music.163.com/playlist?id=8859859903
548682,342371680,4160,9,2023-09-26,63,欧美 流行 快乐 ,164,假日清爽风 | 感受阳光 感受清新与自由！,8756753298,https://music.163.com/playlist?id=8756753298
27638,2053653564,169,37,2023-06-15,636,孤独 ,182,天赋不会给你刀刻般的记忆,8483404630,https://music.163.com/playlist?id=8483404630
2010768,8376551360,17697,49,2023-08-01,194,欧美 流行 快乐 ,124,英文小甜歌：欢乐 阳光 快乐氛围曲,8615539052,https://music.163.com/playlist?id=8615539052
19505762,118484559,234601,823,2015-12-30,3160,欧美 电子 清新 ,185,【绝美人声+完美电音】，触电节奏一秒倾心~,146852233,https://music.163.com/playlist?id=146852233
1174289,342371680,8149,19,2023-09-20,89,流行 欧美 清新 ,186,元气清晨 | 清晨起床必听的清新英文小调,8742919802,https://music.163.com/playlist?id=8742919802
3291075,26852587,33349,229,2015-06-20,578,粤语 流行 经典 ,25,〖我所挚爱的粤语男声〗,82857677,https://music.163.com/playlist?id=82857677
4357505,5190793,64228,229,2015-07-30,919,运动 欧美 电子 ,30,每天一点轻电的跑步节奏,93817702,https://music.163.com/playlist?id=93817702
700155,342371680,9947,12,2023-10-23,140,R&B/Soul 流行 欧美 ,166,浪漫R&B | 微醺浸染 或丝般柔顺 或梦般性感,8817049067,https://music.163.com/playlist?id=8817049067
1905056,342371680,11741,39,2023-07-21,219,华语 流行 浪漫 ,174,甜甜恋曲：我爱你在地球上也不是什么大秘密,8580592417,https://music.163.com/playlist?id=8580592417
2915974,354868458,5763,10,2022-08-27,4,华语 流行 伤感 ,87,Emo天花板歌曲系列「难过」「睡觉听」,7609248048,https://music.163.com/playlist?id=7609248048
627954,1421377476,4746,18,2022-01-27,124,兴奋 流行 欧美 ,160,甜酷辣妹|女生都是小猫体质,7261689443,https://music.163.com/playlist?id=7261689443
565826,342371680,4261,10,2023-09-22,103,流行 欧美 R&B/Soul ,199,氛围R&B | 性感 松弛女嗓与鼓点的碰撞,8746915907,https://music.163.com/playlist?id=8746915907
6774826,2119152987,23336,665,2023-10-10,247,流行 华语 网络歌曲 ,226,【网络热歌】爱意随风起 风止意难平,8791302505,https://music.163.com/playlist?id=8791302505
4363723,392078662,15138,183,2021-01-09,190,说唱 华语 伤感 ,236,“干嘛听苦情歌 以为多浪漫”,5456835430,https://music.163.com/playlist?id=5456835430
97216,342371680,1096,2,2023-12-27,17,欧美 R&B/Soul 摇滚 ,69,落日城市 | 傍晚日落时 绝美的蓝调时刻,9100819747,https://music.163.com/playlist?id=9100819747
1177383,342371680,14764,43,2023-12-07,203,爵士 浪漫 轻音乐 ,100,Jazz浪漫橘调&高级 慵懒 氛围背景音,8911908307,https://music.163.com/playlist?id=8911908307
4824735,132917248,28171,161,2018-05-05,348,流行 ACG 快乐 ,173,欢乐｜化妆洗澡时听的歌,2214515296,https://music.163.com/playlist?id=2214515296
88702,271977164,749,2,2023-10-03,9,华语 流行 夜晚 ,131,h3R3–队长–郑润泽–薛之谦–高旭等,8778491175,https://music.163.com/playlist?id=8778491175
742651,263082305,32418,238,2022-01-07,208,游戏 ACG ,186,旋曜玉帛（原神尘歌壶音乐）,7225711996,https://music.163.com/playlist?id=7225711996
386545,342371680,5516,24,2023-04-23,101,轻音乐 放松 安静 ,72,绿野奔赴 | 沉浸大自然 静谧与美好之中,8374906983,https://music.163.com/playlist?id=8374906983
20114678,97515301,114965,319,2022-05-28,3813,华语 治愈 安静 ,172,"治愈的风｜即使一个人, 也请好好生活",7459082372,https://music.163.com/playlist?id=7459082372
3988852,1650191296,29870,126,2019-07-27,612,欧美 说唱 R&B/Soul ,92,Urban · 历届格莱美精选集,2902128439,https://music.163.com/playlist?id=2902128439
1164434,646230162,10913,33,2019-08-13,112,欧美 流行 电子 ,164,比伯/盆栽/断眉/萌德/烟鬼/酷玩/梦龙,2934993622,https://music.163.com/playlist?id=2934993622
